name,price,first_name,last_name,above_100
Gary Harper,47.6,Gary,Harper,False
Linda Johnson,115.36,Linda,Johnson,True
Melissa Smith,87.98,Melissa,Smith,False
Kristen Floyd,135.02,Kristen,Floyd,True
William Diaz,192.15,William,Diaz,True
Benjamin Smith,134.91,Benjamin,Smith,True
David Glenn,216.29,David,Glenn,True
Dawn Jones,271.61,Dawn,Jones,True
Joel Smith,14.49,Joel,Smith,False
Mr. Larry Grimes MD,268.68,Mr.,Larry,True
Joseph Arnold,121.78,Joseph,Arnold,True
Kyle Long,241.62,Kyle,Long,True
Brittany Day,261.55,Brittany,Day,True
Bobby Ward,63.51,Bobby,Ward,False
Thomas Lee,254.08,Thomas,Lee,True
Jennifer Hansen,101.49,Jennifer,Hansen,True
Lisa Murray,176.09,Lisa,Murray,True
Meghan Wade,273.23,Meghan,Wade,True
Tammie Brooks,84.89,Tammie,Brooks,False
Maria Bell,264.07,Maria,Bell,True
Allison Livingston,130.35,Allison,Livingston,True
Chris Hays,17.34,Chris,Hays,False
Courtney Mitchell,78.93,Courtney,Mitchell,False
Shawn White,188.02,Shawn,White,True
Taylor Gomez,225.02,Taylor,Gomez,True
Jeremy Rodriguez,200.72,Jeremy,Rodriguez,True
April Garcia,66.25,April,Garcia,False
Zachary Watts,15.5,Zachary,Watts,False
Sarah Montoya,206.82,Sarah,Montoya,True
Jennifer Barker,89.19,Jennifer,Barker,False
Sharon Garza,72.36,Sharon,Garza,False
Tiffany Stevens,196.38,Tiffany,Stevens,True
Ruben Armstrong,93.7,Ruben,Armstrong,False
Dr. Jeffrey Spencer,271.16,Dr.,Jeffrey,True
Nicole Ramsey,247.86,Nicole,Ramsey,True
Anne Roy,277.93,Anne,Roy,True
Lori Sanchez,285.66,Lori,Sanchez,True
Allison Chavez,126.85,Allison,Chavez,True
Marcus Adams,36.47,Marcus,Adams,False
Mary Smith,16.32,Mary,Smith,False
Joseph Reed,178.46,Joseph,Reed,True
Jason Armstrong,26.05,Jason,Armstrong,False
Jeff Armstrong,88.48,Jeff,Armstrong,False
Sean Shields,247.84,Sean,Shields,True
Jessica Allison,104.74,Jessica,Allison,True
Christian Grant,99.12,Christian,Grant,False
Edward Watson,180.35,Edward,Watson,True
Derrick Cooke,142.09,Derrick,Cooke,True
Arthur Hall MD,235.97,Arthur,Hall,True
Sean Patrick,139.45,Sean,Patrick,True
Heather Collins,127.39,Heather,Collins,True
Megan Gomez,107.86,Megan,Gomez,True
William Hale,114.67,William,Hale,True
Olivia Thompson,8.61,Olivia,Thompson,False
Lori Torres,18.86,Lori,Torres,False
Vickie Hernandez,214.93,Vickie,Hernandez,True
Kimberly Brown,40.32,Kimberly,Brown,False
Sherry Meza,182.85,Sherry,Meza,True
Phillip Hansen,44.12,Phillip,Hansen,False
Jeanette Knight,28.69,Jeanette,Knight,False
Kayla Hanson,27.63,Kayla,Hanson,False
James Johnston,284.43,James,Johnston,True
Dr. John Porter,53.73,Dr.,John,False
Elizabeth Reyes,93.68,Elizabeth,Reyes,False
Kristen Henry,77.01,Kristen,Henry,False
Claudia Anderson,160.34,Claudia,Anderson,True
Nicholas Webb,18.71,Nicholas,Webb,False
Allison Cooper,206.04,Allison,Cooper,True
Zachary Barnes,280.77,Zachary,Barnes,True
Gregory Hill III,265.98,Gregory,Hill,True
Terry Ayers,16.51,Terry,Ayers,False
Jessica Wilson,290.41,Jessica,Wilson,True
Daniel Frazier,190.33,Daniel,Frazier,True
Brian Welch,218.25,Brian,Welch,True
Carol Chavez,123.18,Carol,Chavez,True
Ethan Mcdonald,214.35,Ethan,Mcdonald,True
Gerald Martinez,57.55,Gerald,Martinez,False
Eric King,59.88,Eric,King,False
Sylvia Walters,110.95,Sylvia,Walters,True
Jonathan Lane,64.47,Jonathan,Lane,False
Matthew Turner,180.26,Matthew,Turner,True
Jeffrey Bauer,30.52,Jeffrey,Bauer,False
Jessica Shaffer,54.9,Jessica,Shaffer,False
Chris Spencer,251.38,Chris,Spencer,True
Mary Clarke,236.05,Mary,Clarke,True
Timothy Mendoza,105.98,Timothy,Mendoza,True
Alicia Hoffman,182.34,Alicia,Hoffman,True
Joseph Gardner,144.81,Joseph,Gardner,True
Rachael Rangel,297.95,Rachael,Rangel,True
Jeffrey Harrington,194.27,Jeffrey,Harrington,True
Sophia Randolph,158.54,Sophia,Randolph,True
Debbie Freeman,275.87,Debbie,Freeman,True
Matthew Braun,201.77,Matthew,Braun,True
Sheri Hudson,268.37,Sheri,Hudson,True
Mary King,204.08,Mary,King,True
Beth Davis,155.07,Beth,Davis,True
Margaret Castillo,193.91,Margaret,Castillo,True
Tommy Sandoval,172.28,Tommy,Sandoval,True
Christopher Hines,46.55,Christopher,Hines,False
Richard Wright,208.36,Richard,Wright,True
Michael Brown,278.52,Michael,Brown,True
Nathan Yu,134.19,Nathan,Yu,True
Cameron Ford,248.89,Cameron,Ford,True
Carla Hayes,265.37,Carla,Hayes,True
Marissa Matthews,136.09,Marissa,Matthews,True
Dr. Samuel Thompson,237.16,Dr.,Samuel,True
Gary Figueroa,168.94,Gary,Figueroa,True
Michael West,146.89,Michael,West,True
Martin Walton,140.34,Martin,Walton,True
Zachary Lee,8.67,Zachary,Lee,False
Christopher Stephenson,67.01,Christopher,Stephenson,False
Eric Ortiz,117.72,Eric,Ortiz,True
Kara Pittman,56.24,Kara,Pittman,False
Andrew Cowan,295.94,Andrew,Cowan,True
Rhonda Moss DDS,259.04,Rhonda,Moss,True
Sarah Williams,92.83,Sarah,Williams,False
Carolyn Collins,236.25,Carolyn,Collins,True
Larry Mooney,135.27,Larry,Mooney,True
Laura Livingston,294.26,Laura,Livingston,True
Candace Mckenzie,84.58,Candace,Mckenzie,False
Candace Wallace,124.75,Candace,Wallace,True
Jason White,218.43,Jason,White,True
Patricia Reynolds,89.01,Patricia,Reynolds,False
Michael Ellison,244.47,Michael,Ellison,True
Melissa Robles,238.46,Melissa,Robles,True
Heidi Fry,109.63,Heidi,Fry,True
James Smith,163.96,James,Smith,True
Charles Ruiz,48.46,Charles,Ruiz,False
Stephanie Green DDS,9.14,Stephanie,Green,False
Stacey Garcia,106.62,Stacey,Garcia,True
Glenda Burke,206.36,Glenda,Burke,True
Zachary Alvarez,104.05,Zachary,Alvarez,True
Rachel Shaw,2.45,Rachel,Shaw,False
Carmen Beard,269.62,Carmen,Beard,True
Tony Daniels,186.9,Tony,Daniels,True
Randy Mora,70.74,Randy,Mora,False
George Aguirre,128.95,George,Aguirre,True
James Miller,297.04,James,Miller,True
Jacqueline Williams,17.31,Jacqueline,Williams,False
April Taylor,121.29,April,Taylor,True
Robert Johnson,131.62,Robert,Johnson,True
Gary White,280.97,Gary,White,True
Kim Lowe,192.78,Kim,Lowe,True
Samantha Jones,136.34,Samantha,Jones,True
Randy Lozano,16.3,Randy,Lozano,False
Arthur Chavez,6.9,Arthur,Chavez,False
Melissa Miller,162.61,Melissa,Miller,True
Leslie Mccormick,282.5,Leslie,Mccormick,True
Carlos Rubio,63.22,Carlos,Rubio,False
David York,86.53,David,York,False
Gabriella Anthony,7.64,Gabriella,Anthony,False
Olivia Poole,117.85,Olivia,Poole,True
Wayne Wilson,74.67,Wayne,Wilson,False
Elizabeth Moore,267.4,Elizabeth,Moore,True
Janice Campbell,33.45,Janice,Campbell,False
Julie Johnson,63.64,Julie,Johnson,False
Misty Cantrell,189.04,Misty,Cantrell,True
Robert Soto,109.01,Robert,Soto,True
Brenda Cowan,60.85,Brenda,Cowan,False
Kelly Guerrero,259.51,Kelly,Guerrero,True
David Nichols,19.49,David,Nichols,False
Kayla Taylor,186.24,Kayla,Taylor,True
Antonio Garcia,125.48,Antonio,Garcia,True
Tyler Cisneros,186.59,Tyler,Cisneros,True
Jillian Crawford,158.82,Jillian,Crawford,True
Karl Pierce,132.77,Karl,Pierce,True
Joann Taylor,276.96,Joann,Taylor,True
Jennifer Jenkins,59.13,Jennifer,Jenkins,False
Nancy Brown,78.87,Nancy,Brown,False
Emma Munoz,120.84,Emma,Munoz,True
Shawn Galloway,141.03,Shawn,Galloway,True
Melissa Mcguire,213.08,Melissa,Mcguire,True
Bryan Chavez,125.4,Bryan,Chavez,True
Fernando Salazar,256.15,Fernando,Salazar,True
Megan Moore,251.35,Megan,Moore,True
Robert Williams,175.21,Robert,Williams,True
Dennis Sanford,29.45,Dennis,Sanford,False
Kimberly Herrera,154.81,Kimberly,Herrera,True
Gloria Potts,289.1,Gloria,Potts,True
Suzanne Barnett,8.47,Suzanne,Barnett,False
Leah Myers,44.56,Leah,Myers,False
Kylie Thomas,13.45,Kylie,Thomas,False
Amanda Murphy,50.55,Amanda,Murphy,False
Christopher Matthews,282.36,Christopher,Matthews,True
Nicole Parks,52.28,Nicole,Parks,False
Bobby Martin,205.49,Bobby,Martin,True
Kevin Chambers,121.17,Kevin,Chambers,True
Kimberly Lawson,250.29,Kimberly,Lawson,True
Rachel Lopez,101.89,Rachel,Lopez,True
Christopher Clay,219.38,Christopher,Clay,True
Daniel Martin,0.3,Daniel,Martin,False
William Taylor,66.56,William,Taylor,False
Steven Johnson,111.29,Steven,Johnson,True
Daniel Miller,80.58,Daniel,Miller,False
Taylor Bryant,187.63,Taylor,Bryant,True
Lauren Jones,194.79,Lauren,Jones,True
Lindsey Robertson,22.74,Lindsey,Robertson,False
Allison Thomas,168.33,Allison,Thomas,True
Vernon Bishop,216.19,Vernon,Bishop,True
Susan Parsons,132.92,Susan,Parsons,True
Brady Snyder,210.4,Brady,Snyder,True
Brent Mcgrath,174.7,Brent,Mcgrath,True
Peter Smith,278.61,Peter,Smith,True
Deborah Fox,248.12,Deborah,Fox,True
Heather Collins,147.43,Heather,Collins,True
Phillip Meyers,102.8,Phillip,Meyers,True
Nicholas Hubbard,275.4,Nicholas,Hubbard,True
Misty Ramirez,62.32,Misty,Ramirez,False
Scott Johnson,85.87,Scott,Johnson,False
Jay Nixon,253.47,Jay,Nixon,True
Tony Hall,61.2,Tony,Hall,False
Taylor Smith,41.49,Taylor,Smith,False
Mark Reynolds,70.5,Mark,Reynolds,False
Marilyn Christensen,155.49,Marilyn,Christensen,True
Denise Atkins,185.45,Denise,Atkins,True
Melissa Gonzales,228.0,Melissa,Gonzales,True
Henry Hoffman,229.66,Henry,Hoffman,True
Daisy Davenport,59.53,Daisy,Davenport,False
Christopher Paul,122.71,Christopher,Paul,True
Kevin Craig,148.2,Kevin,Craig,True
Natalie Coleman,122.14,Natalie,Coleman,True
Jeremy Strickland,130.84,Jeremy,Strickland,True
Gary Bonilla,162.62,Gary,Bonilla,True
Amanda Richards,236.6,Amanda,Richards,True
Heidi Perez,245.18,Heidi,Perez,True
Robert Johnson,174.69,Robert,Johnson,True
Gary Mills,183.84,Gary,Mills,True
Chelsea Caldwell,16.12,Chelsea,Caldwell,False
John Frye,223.28,John,Frye,True
Michael Strong,220.41,Michael,Strong,True
Christopher Delgado,85.78,Christopher,Delgado,False
Whitney Wallace,253.46,Whitney,Wallace,True
Rebecca Martinez,59.68,Rebecca,Martinez,False
Marissa Mccoy,116.96,Marissa,Mccoy,True
Ricky Kerr,39.0,Ricky,Kerr,False
Anna Campbell,249.92,Anna,Campbell,True
Marie Walters,73.39,Marie,Walters,False
Robert Martin,38.22,Robert,Martin,False
Marc Davis,162.28,Marc,Davis,True
James Dixon,159.38,James,Dixon,True
Vicki Ramirez,186.16,Vicki,Ramirez,True
Krista Campbell,161.23,Krista,Campbell,True
Lauren Patterson,170.21,Lauren,Patterson,True
Megan Clark,290.26,Megan,Clark,True
Judy Zimmerman,219.59,Judy,Zimmerman,True
Joseph Williams MD,210.78,Joseph,Williams,True
Lori Acevedo,210.66,Lori,Acevedo,True
William Taylor,275.63,William,Taylor,True
Dawn Snyder,248.98,Dawn,Snyder,True
Jennifer Simmons,80.68,Jennifer,Simmons,False
Alyssa Nunez,163.8,Alyssa,Nunez,True
Robert Black,63.93,Robert,Black,False
Julia Young,239.24,Julia,Young,True
Melinda Barnes,227.25,Melinda,Barnes,True
Mr. Brett Armstrong,154.13,Mr.,Brett,True
Erik Stevenson,246.0,Erik,Stevenson,True
Daniel George,34.8,Daniel,George,False
Lindsey Jones,197.7,Lindsey,Jones,True
Virginia Lopez,227.43,Virginia,Lopez,True
Andrew Brown,92.88,Andrew,Brown,False
Donna Lowery,264.83,Donna,Lowery,True
Alexis Andrade,6.31,Alexis,Andrade,False
Alyssa Pierce,47.74,Alyssa,Pierce,False
Tara Johnson,38.27,Tara,Johnson,False
Michael Brady,162.06,Michael,Brady,True
James Rhodes,51.92,James,Rhodes,False
Pamela Scott,42.43,Pamela,Scott,False
Martin Ward,170.95,Martin,Ward,True
Kristina Hernandez,107.69,Kristina,Hernandez,True
Robert Bush,87.18,Robert,Bush,False
Rebecca Larson,214.39,Rebecca,Larson,True
Brittany Watson,190.52,Brittany,Watson,True
Ryan Ramirez,249.73,Ryan,Ramirez,True
Edward Burns,87.65,Edward,Burns,False
John Prince,31.74,John,Prince,False
Ashley Boyer,107.66,Ashley,Boyer,True
James Dean,61.7,James,Dean,False
Natalie Gordon,268.28,Natalie,Gordon,True
Ryan Smith,136.21,Ryan,Smith,True
Stephen Thompson,54.3,Stephen,Thompson,False
William Delgado,96.25,William,Delgado,False
Brian Johnson,124.93,Brian,Johnson,True
James Patel,216.61,James,Patel,True
Allen Rogers,145.43,Allen,Rogers,True
Aimee Reyes,277.67,Aimee,Reyes,True
Susan Williams,255.22,Susan,Williams,True
Edward Griffin,108.62,Edward,Griffin,True
Debra Baker,296.5,Debra,Baker,True
Yvette Kramer,279.94,Yvette,Kramer,True
Alyssa Williams DVM,270.9,Alyssa,Williams,True
John Cunningham,173.02,John,Cunningham,True
Dana Gilbert,86.52,Dana,Gilbert,False
Stephen Henry,146.15,Stephen,Henry,True
Bradley James,137.98,Bradley,James,True
Melinda Peters,16.83,Melinda,Peters,False
Robert Goodman,213.54,Robert,Goodman,True
Leslie Moore,195.96,Leslie,Moore,True
Sarah Gray,270.79,Sarah,Gray,True
Amy Haynes,258.51,Amy,Haynes,True
Gary Dean,184.43,Gary,Dean,True
Jonathan Duran,224.54,Jonathan,Duran,True
Elizabeth Ruiz,124.67,Elizabeth,Ruiz,True
Caitlin Lewis,196.36,Caitlin,Lewis,True
Micheal Blackburn,10.44,Micheal,Blackburn,False
Sheryl Mccarthy,159.95,Sheryl,Mccarthy,True
Lisa Smith,150.91,Lisa,Smith,True
Jared Juarez,247.56,Jared,Juarez,True
Brett Castro,217.33,Brett,Castro,True
Jessica Murray,175.3,Jessica,Murray,True
Austin Coffey,16.26,Austin,Coffey,False
Shelly Jacobs,3.86,Shelly,Jacobs,False
Elizabeth Logan,298.74,Elizabeth,Logan,True
Cody Anderson,128.08,Cody,Anderson,True
Kayla Wood,256.05,Kayla,Wood,True
Paul Singh DDS,157.96,Paul,Singh,True
James Mays,245.24,James,Mays,True
Thomas Moore,244.59,Thomas,Moore,True
Linda Pacheco,299.6,Linda,Pacheco,True
Jenny Clark,66.32,Jenny,Clark,False
Patrick Guzman,223.5,Patrick,Guzman,True
Mr. Scott Peters,229.49,Mr.,Scott,True
John Stevenson,23.1,John,Stevenson,False
Kristina Brooks,154.68,Kristina,Brooks,True
Nancy Aguilar,63.39,Nancy,Aguilar,False
Robert Brown,132.73,Robert,Brown,True
Jessica Williams,255.96,Jessica,Williams,True
David Brown,290.59,David,Brown,True
Dorothy Munoz,242.56,Dorothy,Munoz,True
Jason Lawson,76.09,Jason,Lawson,False
James Hall,167.97,James,Hall,True
Patricia Carpenter,46.08,Patricia,Carpenter,False
Jeff Cardenas,64.36,Jeff,Cardenas,False
Michelle Johnson,19.19,Michelle,Johnson,False
Frank Madden,17.34,Frank,Madden,False
George Tanner,291.43,George,Tanner,True
Dylan Johnson,40.65,Dylan,Johnson,False
Pamela King,282.48,Pamela,King,True
Jesse Frazier,95.67,Jesse,Frazier,False
Edward Russell,103.22,Edward,Russell,True
Diana Mcdonald,183.1,Diana,Mcdonald,True
Randy Dawson,192.14,Randy,Dawson,True
Jasmine Williams,286.17,Jasmine,Williams,True
Robert Smith,124.22,Robert,Smith,True
Sara Young,183.99,Sara,Young,True
Samantha Gonzalez,205.59,Samantha,Gonzalez,True
Christina Torres,286.27,Christina,Torres,True
Maria Bailey,141.91,Maria,Bailey,True
Charles Bartlett,94.23,Charles,Bartlett,False
Natalie Parker,238.02,Natalie,Parker,True
Paula Hernandez DDS,48.88,Paula,Hernandez,False
Jessica Jenkins,14.95,Jessica,Jenkins,False
Drew Henson,223.08,Drew,Henson,True
Michael Davis,17.98,Michael,Davis,False
Ian Ramos,23.68,Ian,Ramos,False
Anna Wright,235.58,Anna,Wright,True
Ashley Anderson,74.41,Ashley,Anderson,False
Jennifer Wright,298.13,Jennifer,Wright,True
Nicole Lopez,67.73,Nicole,Lopez,False
Tara Ellis,21.93,Tara,Ellis,False
Hannah Elliott,42.35,Hannah,Elliott,False
Gavin Rodriguez,116.37,Gavin,Rodriguez,True
Johnny Jackson,291.6,Johnny,Jackson,True
Martin Garrett,147.07,Martin,Garrett,True
Terri Hayes,167.36,Terri,Hayes,True
Adam Huang,260.84,Adam,Huang,True
Carolyn Garner,104.41,Carolyn,Garner,True
Lisa Lee,130.22,Lisa,Lee,True
Rodney Escobar,8.71,Rodney,Escobar,False
Michael Johnson,144.55,Michael,Johnson,True
Michelle Carter DVM,55.95,Michelle,Carter,False
John Dunn,81.54,John,Dunn,False
Terry Pierce,297.87,Terry,Pierce,True
David Buck,258.79,David,Buck,True
Jennifer Newman,149.31,Jennifer,Newman,True
Cynthia Lee,246.59,Cynthia,Lee,True
Sylvia Clark,299.53,Sylvia,Clark,True
Joseph Taylor,86.08,Joseph,Taylor,False
Kathleen Barton,37.42,Kathleen,Barton,False
Michael Harris Jr.,52.86,Michael,Harris,False
Eric Benson,172.2,Eric,Benson,True
Curtis Butler,44.51,Curtis,Butler,False
Brittany Le,51.05,Brittany,Le,False
Jeremiah Sims,101.16,Jeremiah,Sims,True
David Davis,290.42,David,Davis,True
Tiffany Bond,181.49,Tiffany,Bond,True
Patricia Chen,61.6,Patricia,Chen,False
William Crawford,181.76,William,Crawford,True
Christina Roberts,29.29,Christina,Roberts,False
Jerome Scott,232.14,Jerome,Scott,True
Jeffery Walker,272.08,Jeffery,Walker,True
Todd Alvarez,212.17,Todd,Alvarez,True
John Henry,223.99,John,Henry,True
James Miles,156.37,James,Miles,True
Michael Downs,31.2,Michael,Downs,False
Kayla Wheeler,6.1,Kayla,Wheeler,False
Charles Martin,161.28,Charles,Martin,True
Harold Bennett,135.04,Harold,Bennett,True
Michael Swanson,200.39,Michael,Swanson,True
Janet Mcdonald,79.8,Janet,Mcdonald,False
Brett Willis,244.41,Brett,Willis,True
Jacob Smith,27.92,Jacob,Smith,False
Alexa Webb,167.57,Alexa,Webb,True
Louis Klein,40.12,Louis,Klein,False
Tony Yu,15.74,Tony,Yu,False
Lisa Goodman,121.08,Lisa,Goodman,True
Kimberly Hernandez,36.97,Kimberly,Hernandez,False
Phillip Friedman,145.84,Phillip,Friedman,True
Brian Lam,2.9,Brian,Lam,False
Kristin Wilkins,251.85,Kristin,Wilkins,True
Joshua Lynch,188.88,Joshua,Lynch,True
Blake Mclaughlin,276.65,Blake,Mclaughlin,True
Billy Olsen,10.0,Billy,Olsen,False
Shawn Brock,179.62,Shawn,Brock,True
Danielle Jones,222.7,Danielle,Jones,True
Jim Gomez,60.13,Jim,Gomez,False
Sabrina Henderson,178.75,Sabrina,Henderson,True
David Pennington,245.32,David,Pennington,True
Deborah Williams,137.02,Deborah,Williams,True
Stephanie Bowman,227.0,Stephanie,Bowman,True
Joseph Frazier,176.45,Joseph,Frazier,True
Ryan Mclaughlin,249.86,Ryan,Mclaughlin,True
Tony Hall,135.86,Tony,Hall,True
Timothy Martin,289.27,Timothy,Martin,True
John Obrien,261.85,John,Obrien,True
Barbara Johnson,53.81,Barbara,Johnson,False
Brandon Marshall,139.85,Brandon,Marshall,True
Carrie Miller,11.56,Carrie,Miller,False
Samantha Dean,261.62,Samantha,Dean,True
Jamie Wilson,87.75,Jamie,Wilson,False
Carlos Acosta,236.6,Carlos,Acosta,True
Amy Bennett,228.75,Amy,Bennett,True
Dominique Wells,116.64,Dominique,Wells,True
Sarah Bright,237.52,Sarah,Bright,True
Michael Barton,111.59,Michael,Barton,True
Rebecca Anderson,172.31,Rebecca,Anderson,True
Megan Riggs,31.42,Megan,Riggs,False
Whitney Andrews,44.12,Whitney,Andrews,False
Catherine Jones,127.01,Catherine,Jones,True
William Andrews,236.22,William,Andrews,True
Kathleen Edwards,158.32,Kathleen,Edwards,True
Roger Frost,220.47,Roger,Frost,True
Justin Johnson,255.85,Justin,Johnson,True
Valerie Young,265.17,Valerie,Young,True
Samantha Perez,239.95,Samantha,Perez,True
Devin Allen,72.16,Devin,Allen,False
Stephanie Little,238.92,Stephanie,Little,True
Melanie Miller,27.51,Melanie,Miller,False
Erica Beck,2.41,Erica,Beck,False
Toni Dunn,168.37,Toni,Dunn,True
Eric Dunn,211.9,Eric,Dunn,True
David Jackson,169.36,David,Jackson,True
Melanie Gates,94.67,Melanie,Gates,False
Heather Pierce,17.41,Heather,Pierce,False
Jordan Lewis,153.01,Jordan,Lewis,True
Michele Johnson,255.71,Michele,Johnson,True
Samantha Ryan,249.49,Samantha,Ryan,True
Christopher Hudson,202.0,Christopher,Hudson,True
Zachary Williams,106.6,Zachary,Williams,True
Donna Davis,66.73,Donna,Davis,False
Jordan Erickson,237.77,Jordan,Erickson,True
Christopher Nolan,88.74,Christopher,Nolan,False
Evelyn Hanna,11.36,Evelyn,Hanna,False
Jason Johnson,250.23,Jason,Johnson,True
Barbara Caldwell,224.71,Barbara,Caldwell,True
Ronald Huff,7.22,Ronald,Huff,False
Holly Norris,216.23,Holly,Norris,True
Derrick Carter,11.84,Derrick,Carter,False
Kenneth Golden,285.85,Kenneth,Golden,True
Grace Edwards,70.09,Grace,Edwards,False
Jonathan Rios,57.71,Jonathan,Rios,False
Mackenzie Miller,265.59,Mackenzie,Miller,True
Tammy Taylor,138.86,Tammy,Taylor,True
Reginald King,207.33,Reginald,King,True
Matthew Fletcher,130.56,Matthew,Fletcher,True
Elizabeth Jordan,177.71,Elizabeth,Jordan,True
Sally Santiago,45.12,Sally,Santiago,False
James Johnson,12.9,James,Johnson,False
Jason Saunders,242.84,Jason,Saunders,True
Carol Hernandez,4.62,Carol,Hernandez,False
Kendra Dawson,291.52,Kendra,Dawson,True
James Hess DDS,58.43,James,Hess,False
Michael Stokes,25.52,Michael,Stokes,False
Jeffrey Martinez,147.69,Jeffrey,Martinez,True
Joseph Bell,102.99,Joseph,Bell,True
Pamela Black,140.72,Pamela,Black,True
Robert Jordan,100.47,Robert,Jordan,True
Kathy Baker,263.55,Kathy,Baker,True
Brian Bailey,115.36,Brian,Bailey,True
Mitchell Clark,190.29,Mitchell,Clark,True
Kelly Mcintyre,168.73,Kelly,Mcintyre,True
Susan Ali,260.58,Susan,Ali,True
Latoya Gonzales,205.04,Latoya,Gonzales,True
Olivia Mayo,251.54,Olivia,Mayo,True
Thomas Anderson,221.03,Thomas,Anderson,True
Todd Jennings,182.39,Todd,Jennings,True
Paul Dixon,22.26,Paul,Dixon,False
Julie Torres,130.68,Julie,Torres,True
James Miller,202.23,James,Miller,True
John Howard,80.74,John,Howard,False
Anne Savage,134.04,Anne,Savage,True
Richard Wilson,226.89,Richard,Wilson,True
Mrs. Amber Esparza,187.58,Mrs.,Amber,True
Todd Armstrong,99.19,Todd,Armstrong,False
Aaron Richardson,118.46,Aaron,Richardson,True
Gregory Pollard,234.14,Gregory,Pollard,True
Jon Butler,225.77,Jon,Butler,True
Chelsea Madden,116.62,Chelsea,Madden,True
Misty Ramos,234.08,Misty,Ramos,True
Ryan Murphy,233.79,Ryan,Murphy,True
Brittany Sandoval,259.16,Brittany,Sandoval,True
Rose Stanton,132.58,Rose,Stanton,True
Kristen Banks,287.01,Kristen,Banks,True
Julia Stokes,140.31,Julia,Stokes,True
Paul Phillips,186.0,Paul,Phillips,True
Amber Thompson,128.4,Amber,Thompson,True
Mrs. Valerie Norton,278.47,Mrs.,Valerie,True
Adam Parker,228.18,Adam,Parker,True
Jennifer Gonzales,201.96,Jennifer,Gonzales,True
Jacqueline Hernandez,260.09,Jacqueline,Hernandez,True
Cory Walker,276.9,Cory,Walker,True
Jennifer Miller,220.52,Jennifer,Miller,True
Dawn Bond,270.36,Dawn,Bond,True
Tara Daniel,247.69,Tara,Daniel,True
Rebecca Thompson DDS,136.49,Rebecca,Thompson,True
Victor Serrano,260.12,Victor,Serrano,True
Elizabeth Bell,55.22,Elizabeth,Bell,False
Julie Coleman,122.63,Julie,Coleman,True
Jennifer Brown,8.63,Jennifer,Brown,False
Jessica Moore,266.65,Jessica,Moore,True
John Ramirez,160.94,John,Ramirez,True
Becky Hall,271.12,Becky,Hall,True
Christine Smith,295.8,Christine,Smith,True
Christopher Osborne,146.23,Christopher,Osborne,True
Jacob Hernandez,8.0,Jacob,Hernandez,False
Jennifer Rogers,128.51,Jennifer,Rogers,True
Tammy Young,19.65,Tammy,Young,False
James Lewis,56.05,James,Lewis,False
Charles Stanley,74.11,Charles,Stanley,False
Christina Garcia,85.95,Christina,Garcia,False
Heather Davis,74.3,Heather,Davis,False
Ashley Fuentes,228.88,Ashley,Fuentes,True
Jorge Brown,2.67,Jorge,Brown,False
Sierra Park MD,205.53,Sierra,Park,True
Todd Miller,272.99,Todd,Miller,True
Jeffrey Sanchez,71.26,Jeffrey,Sanchez,False
Crystal Luna,99.98,Crystal,Luna,False
